id,name,player_link,team,team_link,age,number,position,height,weight,last_attended,country,birth_date,experience,draft
108,"Torrey Craig",https://www.nba.com/player/1628470/torrey-craig/,"Phoenix Suns ",https://www.nba.com/team/1610612756/suns/,30,"12 ",Forward,2,100,"South Carolina Upstate",USA,1990-12-19,3,Undrafted
109,"Jae Crowder",https://www.nba.com/player/203109/jae-crowder/,"Phoenix Suns ",https://www.nba.com/team/1610612756/suns/,30,"99 ",Forward,2,107,Marquette,USA,1990-07-06,8,"2012 R2 Pick 34"
110,"Jarrett Culver",https://www.nba.com/player/1629633/jarrett-culver/,"Minnesota Timberwolves ",https://www.nba.com/team/1610612750/timberwolves/,22,"23 ",Guard-Forward,2,88,"Texas Tech",USA,1999-02-20,1,"2019 R1 Pick 6"
111,"Seth Curry",https://www.nba.com/player/203552/seth-curry/,"Philadelphia 76ers ",https://www.nba.com/team/1610612755/sixers/,30,"31 ",Guard,2,84,Duke,USA,1990-08-23,6,Undrafted
112,"Stephen Curry",https://www.nba.com/player/201939/stephen-curry/,"Golden State Warriors ",https://www.nba.com/team/1610612744/warriors/,33,"30 ",Guard,2,84,Davidson,USA,1988-03-14,11,"2009 R1 Pick 7"
113,"Nate Darling",https://www.nba.com/player/1630268/nate-darling/,"Charlotte Hornets ",https://www.nba.com/team/1610612766/hornets/,22,"30 ",Guard,2,91,Delaware,Canada,1998-08-30,Rookie,Undrafted
114,"Anthony Davis",https://www.nba.com/player/203076/anthony-davis/,"Los Angeles Lakers ",https://www.nba.com/team/1610612747/lakers/,28,"3 ",Forward-Center,2,115,Kentucky,USA,1993-03-11,8,"2012 R1 Pick 1"
115,"Ed Davis",https://www.nba.com/player/202334/ed-davis/,"Minnesota Timberwolves ",https://www.nba.com/team/1610612750/timberwolves/,31,"17 ",Center-Forward,2,99,"North Carolina",USA,1989-06-05,10,"2010 R1 Pick 13"
116,"Terence Davis",https://www.nba.com/player/1629056/terence-davis/,"Sacramento Kings ",https://www.nba.com/team/1610612758/kings/,23,"9 ",Guard,2,91,Mississippi,USA,1997-05-16,1,Undrafted
117,"DeMar DeRozan",https://www.nba.com/player/201942/demar-derozan/,"San Antonio Spurs ",https://www.nba.com/team/1610612759/spurs/,31,"10 ",Guard-Forward,2,100,"Southern California",USA,1989-08-07,11,"2009 R1 Pick 9"
118,"Matthew Dellavedova",https://www.nba.com/player/203521/matthew-dellavedova/,"Cleveland Cavaliers ",https://www.nba.com/team/1610612739/cavaliers/,30,"18 ",Guard,2,91,"St.Mary's College of California",Australia,1990-09-08,7,Undrafted
119,"Donte DiVincenzo",https://www.nba.com/player/1628978/donte-divincenzo/,"Milwaukee Bucks ",https://www.nba.com/team/1610612749/bucks/,24,"0 ",Guard,2,92,Villanova,USA,1997-01-31,2,"2018 R1 Pick 17"
120,"Mamadi Diakite",https://www.nba.com/player/1629603/mamadi-diakite/,"Milwaukee Bucks ",https://www.nba.com/team/1610612749/bucks/,24,"25 ",Forward,2,103,Virginia,Guinea,1997-01-21,Rookie,Undrafted
